rubrics_id  rubrics_number  mitt_number  page_number | observer_id  observer_alias - comment | frequency


-1  undef  undef  undef  |  63   Zucconi Schubert Staudacher Horrebow - staudacher | 6
-1  undef  undef  undef  |  64   Wolf P-M Meyer Weber Schimdt Leppig - Wolf | 1
-1  undef  undef  undef  |  56   Wolfer - * | 2
-1  undef  undef  undef  |  140   Baker - Observations this month made with 7 & 1/4-zoellige nrefraktor | 1
-1  undef  undef  undef  |  140   Baker - Observations this month made with 7 & 1/4-zoelligen refraktor | 2
-1  undef  undef  undef  |  140   Baker - Observations from 13-29 October made with 2-zoellinger refraktor | 1
-1  undef  undef  undef  |  140   Baker - Observations for 30-31 October made with 6-zoellingen reflektor | 1
-1  undef  undef  undef  |  140   Baker - Observations from 13-29 October made with 2-Zoellinger refraktor | 1
-1  undef  undef  undef  |  140   Baker - Observations on 30-31 October made with 6-zoellingen reflektor | 2
-1  undef  undef  undef  |  140   Baker - Observations this month made with 6-zoellingen reflektor | 1
-1  undef  undef  undef  |  140   Baker - Observations from 1-20 December made with 6-zoellingen reflektor | 2
-1  undef  undef  undef  |  140   Baker - Observations from 21-31 December made with 2-zoellinger refraktor  | 2
-1  undef  undef  undef  |  140   Baker - Observations this month made with 7 & 1/4-zoellingen refraktor | 2
-1  undef  undef  undef  |  140   Baker - Observations from 13-29 October made with 2-zoelliger refraktor  | 1
-1  undef  undef  undef  |  140   Baker - Observations this month were made with a 7&1/4-zoelligen refraktor | 1
-1  undef  undef  undef  |  140   Baker - Observations this month made with 7&1/-zoelligen refraktor | 1
-1  undef  undef  undef  |  140   Baker - Observations from 13-29 October made with 2-zoelliger refraktor | 1
-1  undef  undef  undef  |  140   Baker - Observations on 30 and 31 October made with 6-zoelligen reflektor | 1
-1  undef  undef  undef  |  140   Baker - Observations this month made with 6-zoelligen reflektor | 1
-1  undef  undef  undef  |  140   Baker - Observations from 1-20 December made with 6-zoelligen reflektor | 1
-1  undef  undef  undef  |  140   Baker - Observations from 21-31 December made with 2-zoelliger refraktor | 1
-1  undef  undef  undef  |  132   Guillaume - mauvaise déf img soleil | 1

0  0  1  153  |  2   WOLF - S - M - uncertain | 27
0  0  1  153  |  6   Vagetius - XXX - Wrong Rubric and/or Observer | 11
0  0  1  153  |  10   Zucconi - Zucconi | 583
0  0  1  153  |  11   Harriot - Nbre entre parenthése | 2
0  0  1  153  |  17   Schwabe - XXX - Wrong Rubric and/or Observer | 124
0  0  1  153  |  2   WOLF - S - M - XXX - Wrong Rubric and/or Observer | 32
0  0  1  153  |  3   WOLF - P - M - XXX - Wrong Rubric and/or Observer | 4

4  4  3  None  |  4   Rumovski - Uncertain | 5
4  4  3  None  |  4   Rumovski - uncertain | 1

7  7  3  None  |  6   Vagetius - uncertain | 13

34  167  13  116  |  25   Adams - uncertain | 40

39  191  16  184  |  34   Schott - 3 | 1

138  0  1  154  |  61   Wolf P-M Meyer Schwabe Weber Schimdt - Schwabe | 52
138  0  1  154  |  61   Wolf P-M Meyer Schwabe Weber Schimdt - Wolf | 80
138  0  1  154  |  61   Wolf P-M Meyer Schwabe Weber Schimdt - weber | 18
